Statistical profiling result from infoConsoleProf.log, (14175 ticks, 26 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1    0.0%    0.1%  getrusage
      1    0.0%    0.1%  do_futex_wait.constprop.0
      1    0.0%    0.1%  __pthread_cond_init
      1    0.0%    0.1%  __munmap
      1    0.0%    0.1%  __getpid
      1    0.0%    0.1%  __fmod_finite
      1    0.0%    0.1%  __GI___pthread_rwlock_wrlock
      1    0.0%    0.1%  __GI___pthread_getspecific
      1    0.0%    0.1%  _IO_setb

 [Summary]:
   ticks  total  nonlib   name
    793    5.6%   43.3%  JavaScript
   1012    7.1%   55.3%  C++
    454    3.2%   24.8%  GC
  12344   87.1%          Shared libraries
     26    0.2%          Unaccounted

 [C++ entry points]:
   ticks    cpp   total   name
    398   47.7%    2.8%  __pthread_cond_signal
     86   10.3%    0.6%  __write
     60    7.2%    0.4%  __libc_write
     52    6.2%    0.4%  __GI___pthread_mutex_unlock
     51    6.1%    0.4%  _IO_fwrite
     41    4.9%    0.3%  __libc_malloc
     40    4.8%    0.3%  syscall
     17    2.0%    0.1%  std::basic_ostream<char, std::char_traits<char> >& std::__ostream_insert<char, std::char_traits<char> >(std::basic_ostream<char, std::char_traits<char> >&, char const*, long)
     12    1.4%    0.1%  __mprotect
     10    1.2%    0.1%  _IO_file_xsputn
      7    0.8%    0.0%  std::ostream::sentry::sentry(std::ostream&)
      7    0.8%    0.0%  __GI___pthread_mutex_lock
      6    0.7%    0.0%  std::__detail::_Prime_rehash_policy::_M_next_bkt(unsigned long) const
      5    0.6%    0.0%  operator new(unsigned long)
      5    0.6%    0.0%  operator delete(void*)
      5    0.6%    0.0%  __libc_open
      5    0.6%    0.0%  __libc_free
      3    0.4%    0.0%  std::_Rb_tree_insert_and_rebalance(bool, std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node_base&)
      2    0.2%    0.0%  std::ostream& std::ostream::_M_insert<long>(long)
      2    0.2%    0.0%  operator delete[](void*)
      2    0.2%    0.0%  __lll_lock_wait
      2    0.2%    0.0%  __clock_gettime
